easting(Km) northing(Km)  Initial_Potential  Cumulative_Production              
391.127   4194.483  660  574
400.778   4209.996  395  150
398.315   4208.140  737  558
401.145   4208.416  330  188
397.027   4195.760  169  65
401.398   4209.667  178  184
397.653   4209.258  1230 301
397.595   4210.901  119  85
399.367   4208.693  351  350
398.767   4199.279  440  124
401.330   4201.866  188  328
403.270   4212.840  273  317
399.326   4209.703  245  150
399.751   4202.795  33   146
400.472   4206.482  127  89
394.687   4210.028  119  37
397.738   4205.495  394  509
397.063   4204.915  758  137
404.691   4197.787  230  259
399.079   4200.329  184  126
392.475   4211.377  198  51
395.868   4209.058  5120 609
395.516   4208.286  838  322
394.034   4219.225  260  412
403.455   4204.016  88   99
398.726   4197.348  579  541
393.266   4213.498  1043 197
394.195   4206.638  489  397
407.802   4216.317  258  190
393.248   4218.792  207  168
395.799   4213.287  189  74
404.948   4213.797  197  187
402.458   4194.029  432  165
410.412   4212.870  146  175
398.053   4197.678  325  162
407.501   4212.980  52   103
393.332   4217.847  343  99
410.102   4214.182  327  93
391.217   4215.722  51   65
397.454   4202.502  206  61
404.370   4211.640  111  39
395.545   4209.862  42   24
406.310   4210.164  162  188
408.039   4217.113  386  328
395.655   4206.775  343  89
390.555   4201.659  1212 523
396.527   4195.212  317  127
406.444   4217.209  1100 491
409.141   4214.559  157  415
393.748   4214.113  246  183
400.442   4213.407  265  177
400.873   4200.440  273  102
391.407   4207.596  168  39
407.332   4217.409  1476 620
394.825   4217.295  231  154
397.634   4193.733  265  202
394.178   4205.274  188  67
404.471   4207.511  424  378
392.120   4195.746  215  110
406.652   4210.903  314  223
400.029   4207.575  206  338
399.105   4208.130  419  492
408.988   4216.503  377  204
395.573   4193.493  413  140
396.207   4218.420  239  500
405.100   4209.512  335  244
394.266   4193.776  35   140
400.611   4201.298  298  55
400.938   4207.220  758  280
399.779   4210.796  536  244
394.037   4213.377  341  299
407.111   4204.173  536  167
410.003   4213.140  253  279
405.422   4210.041  119  142
390.541   4203.257  989  140
401.193   4198.539  389  135
397.885   4199.012  400  85
394.191   4200.879  133  82
406.908   4212.543  119  55
394.712   4214.666  48   27
401.335   4205.251  1200 390
409.570   4216.075  502  270
390.899   4196.494  119  180
398.694   4205.394  440  247
399.737   4201.686  361  280
396.710   4204.109  119  83
402.881   4213.377  59   252
403.418   4202.374  119  121
409.820   4210.057  189  241
402.399   4195.772  258  121
398.599   4196.329  146  77
411.193   4219.308  438  34
411.862   4214.696  215  365
405.075   4208.902  271  264
396.759   4216.993  189  297
399.545   4210.311  297  240
395.529   4217.508  395  166
403.029   4201.446  103  62
397.712   4200.657  351  358
393.311   4219.545  363  255
410.955   4218.334  386  292
397.657   4215.883  158  108
400.330   4219.301  133  216
390.537   4195.101  246  231
395.811   4210.790  353  160
405.397   4196.481  179  130
398.305   4203.091  265  141
399.650   4199.601  265  115
401.295   4202.666  119  150
399.747   4208.178  237  123
410.050   4209.411  52   113
397.602   4203.055  286  46
394.124   4220.090  84   152
401.268   4209.091  315  126
391.671   4208.336  231  138
393.581   4195.205  169  96
405.973   4206.073  157  146
390.578   4200.150  47   119
406.264   4211.485  200  134
394.720   4213.923  230  113
399.924   4204.069  133  91
396.047   4216.880  133  80
393.969   4207.496  202  73
401.471   4219.398  239  87
405.046   4204.075  297  77
405.411   4195.415  103  82
393.706   4195.980  492  71
399.501   4196.762  67   58
397.447   4197.031  82   51
397.426   4206.553  111  55
399.123   4210.982  42   36
